fpr tpr threshold Method Boundary
0.053216769495737865 0.047113884555382214 0.187261950225532 Bayes 8
0.053216769495737865 0.04742589703588144 0.1872332061874025 Bayes 8
0.05334757679478515 0.04742589703588144 0.1871416764897473 Bayes 8
0.05334757679478515 0.047737909516380655 0.1871056396773358 Bayes 8
0.05358739017637184 0.047737909516380655 0.1867602889874234 Bayes 8
0.05358739017637184 0.04804992199687987 0.1867505847149644 Bayes 8
0.05389260720748218 0.04804992199687987 0.1864001187733616 Bayes 8
0.05389260720748218 0.0483619344773791 0.1863826911625246 Bayes 8
0.053979812073513704 0.0483619344773791 0.1863739821966996 Bayes 8
0.053979812073513704 0.048673946957878314 0.186369962543054 Bayes 8
0.05496086681636835 0.048673946957878314 0.1856720353603094 Bayes 8
0.05496086681636835 0.04898595943837754 0.1856697377754215 Bayes 8
0.05500446924938412 0.04898595943837754 0.1856645144249315 Bayes 8
0.05500446924938412 0.049297971918876755 0.185640794691682 Bayes 8
0.05605092764176241 0.049297971918876755 0.1849495067465297 Bayes 8
0.05605092764176241 0.04960998439937597 0.1849474906453249 Bayes 8
0.05622533737382546 0.04960998439937597 0.1849056650151222 Bayes 8
0.05622533737382546 0.0499219968798752 0.1848999859499042 Bayes 8
0.056639560487475205 0.0499219968798752 0.1846123837272362 Bayes 8
0.056639560487475205 0.050234009360374414 0.1845985237525619 Bayes 8
0.05720639211668011 0.050234009360374414 0.1842320500296351 Bayes 8
0.05720639211668011 0.05054602184087364 0.1842122212371497 Bayes 8
0.05742440428175892 0.05054602184087364 0.1840251792516202 Bayes 8
0.05742440428175892 0.050858034321372855 0.1840156244214093 Bayes 8
0.057642416446837735 0.050858034321372855 0.1838178460572792 Bayes 8
0.057642416446837735 0.05117004680187207 0.183805742834249 Bayes 8
0.057925832261440185 0.05117004680187207 0.1836533181440505 Bayes 8
0.057925832261440185 0.0514820592823713 0.1836414727728962 Bayes 8
0.05831825415858205 0.0514820592823713 0.1832926788285916 Bayes 8
0.05831825415858205 0.051794071762870514 0.1832875776164204 Bayes 8
0.059037694303342124 0.051794071762870514 0.182759333762888 Bayes 8
0.059037694303342124 0.05210608424336974 0.182745161867144 Bayes 8
0.06036756851032288 0.05210608424336974 0.1819359268643939 Bayes 8
0.06036756851032288 0.052418096723868955 0.1819221100748755 Bayes 8
0.06139222568619329 0.052418096723868955 0.1813992039417237 Bayes 8
0.06139222568619329 0.05273010920436817 0.1813878797161392 Bayes 8
0.06300551570777649 0.05273010920436817 0.1803548895455625 Bayes 8
0.06300551570777649 0.0530421216848674 0.1803463297106992 Bayes 8
0.06317992543983954 0.0530421216848674 0.1801995710952556 Bayes 8
0.06317992543983954 0.053354134165366614 0.1801689804196796 Bayes 8
0.06370315463602869 0.053354134165366614 0.1799731726969307 Bayes 8
0.06370315463602869 0.05366614664586584 0.1799656841015048 Bayes 8
0.06429178748174148 0.05366614664586584 0.1795899489793249 Bayes 8
0.06429178748174148 0.053978159126365055 0.1795343568475726 Bayes 8
0.06509843249253308 0.053978159126365055 0.179031803419162 Bayes 8
0.06509843249253308 0.05429017160686427 0.1790040650304633 Bayes 8
0.06588327628681681 0.05429017160686427 0.178504670827016 Bayes 8
0.06588327628681681 0.054602184087363496 0.178494780620893 Bayes 8
0.0661230896684035 0.054602184087363496 0.1784092276772812 Bayes 8
0.0661230896684035 0.05522620904836194 0.1783974413803012 Bayes 8
0.06675532494713204 0.05522620904836194 0.1779804834292156 Bayes 8
0.06675532494713204 0.055538221528861155 0.1779728856432594 Bayes 8
0.06695153589570298 0.055538221528861155 0.177910480524757 Bayes 8
0.06695153589570298 0.05585023400936037 0.1778885751538732 Bayes 8
0.06727855414332119 0.05585023400936037 0.1776657446145172 Bayes 8
0.06727855414332119 0.056162246489859596 0.1776373124864228 Bayes 8
0.06732215657633696 0.056162246489859596 0.177620840379386 Bayes 8
0.06732215657633696 0.056474258970358814 0.1776184884221238 Bayes 8
0.06832501253569949 0.056474258970358814 0.177121532916396 Bayes 8
0.06832501253569949 0.05678627145085804 0.1771076352711066 Bayes 8
0.06902265146395169 0.05678627145085804 0.1765932229983476 Bayes 8
0.06902265146395169 0.05741029641185647 0.1765726770866766 Bayes 8
0.0705051341864876 0.05741029641185647 0.1756333803804363 Bayes 8
0.0705051341864876 0.057722308892355696 0.1756030839261252 Bayes 8
0.0707449475680743 0.057722308892355696 0.1755128495821215 Bayes 8
0.0707449475680743 0.05803432137285491 0.1755037512415615 Bayes 8
0.07094115851664523 0.05803432137285491 0.1754053788949336 Bayes 8
0.07094115851664523 0.05834633385335414 0.175379956398991 Bayes 8
0.07131177919727921 0.05834633385335414 0.175221379735032 Bayes 8
0.07131177919727921 0.058658346333853355 0.1752210178222132 Bayes 8
0.07248904488870479 0.058658346333853355 0.1744531264210761 Bayes 8
0.07248904488870479 0.05897035881435257 0.1744429069010845 Bayes 8
0.07261985218775208 0.05897035881435257 0.174371806586024 Bayes 8
0.07261985218775208 0.059282371294851796 0.1743672829079956 Bayes 8
0.07331749111600427 0.059282371294851796 0.1740278119085253 Bayes 8
0.07331749111600427 0.05959438377535101 0.174005374008846 Bayes 8
0.07373171422965401 0.05959438377535101 0.1738167221950939 Bayes 8
0.07373171422965401 0.05990639625585024 0.1738065687573342 Bayes 8
0.0739715276112407 0.05990639625585024 0.1736701347329222 Bayes 8
0.0739715276112407 0.060218408736349455 0.173664065847027 Bayes 8
0.07403693126076435 0.060218408736349455 0.1736228759179724 Bayes 8
0.07403693126076435 0.06053042121684867 0.1736137562776961 Bayes 8
0.07471276897250867 0.06053042121684867 0.1732168392646221 Bayes 8
0.07471276897250867 0.060842433697347896 0.1732114752727 Bayes 8
0.07508338965314265 0.060842433697347896 0.1730162338798999 Bayes 8
0.07508338965314265 0.06115444617784711 0.173002665963517 Bayes 8
0.0757156249318712 0.06115444617784711 0.1727233874486467 Bayes 8
0.0757156249318712 0.06146645865834633 0.1727186304769255 Bayes 8
0.07578102858139484 0.06146645865834633 0.1726888716790203 Bayes 8
0.07578102858139484 0.061778471138845555 0.1726649281381883 Bayes 8
0.07654407115917068 0.061778471138845555 0.1723821562221299 Bayes 8
0.07654407115917068 0.06209048361934477 0.1723714082944817 Bayes 8
0.07674028210774161 0.06209048361934477 0.1722964533494413 Bayes 8
0.07674028210774161 0.06271450858034322 0.1722765493998024 Bayes 8
0.07704549913885195 0.06271450858034322 0.1721329779844174 Bayes 8
0.07704549913885195 0.06302652106084243 0.1721325454378164 Bayes 8
0.07737251738647016 0.06302652106084243 0.1718785853771618 Bayes 8
0.07737251738647016 0.06333853354134165 0.1718715227473257 Bayes 8
